categoria,ordem,texto,enviada,created_at
Bastidores,2,Meninas ♥ hoje meu coração tá cheio. Ser nutricionista de vocês é um privilégio que eu não tenho nem palavras pra explicar 🥰 obrigada por me deixarem caminhar junto,false,2026-07-03 21:50:17.043951+00
Bastidores,3,"Oi lindas 🥰 acordei pensando em cada uma de vocês… que hoje seja um dia mais leve. E se não for, tá tudo bem também — a gente atravessa junto ♥",false,2026-07-03 21:50:17.043951+00
Bastidores,4,"Meninas queridas ♥ vocês fazem essa comunidade ser o que ela é. Cada mensagem, cada partilha, cada ""bom dia"" de vocês aqui aquece o meu dia 🥰 obrigada por existirem",false,2026-07-03 21:50:17.043951+00
Bastidores,5,"Égua, meninas 🥰 às vezes eu paro e penso na sorte que é acompanhar mulheres tão fortes quanto vocês… sou grata demais por me deixarem fazer parte ♥",false,2026-07-03 21:50:17.043951+00
Bastidores,6,"Oi lindas ♥ hoje quero só dizer: vocês são fortes de um jeito que talvez nem percebam. E nos dias que não se sentirem assim, eu lembro por vocês 🥰",false,2026-07-03 21:50:17.043951+00
Bastidores,7,"Meninas ♥ domingo de descanso por aqui, mas o coração sempre com vocês. Cuidem-se com carinho hoje 🥰 e comam algo gostoso, se der ♥",false,2026-07-03 21:50:17.043951+00
Bastidores,8,"Oi lindas 🥰 passeando com a família hoje e lembrei de vocês… como estão? Sou tão grata por poder estar com vocês nessa caminhada ♥ divirtam-se, meninas, e continuem compartilhando aqui",false,2026-07-03 22:32:24.119158+00
Cupom,1,"Meninas 🥰 abri um cupom especial pro OncoStart pra quem é daqui do grupo e quer dar o primeiro passo pra parar de adivinhar o que comer no tratamento. Cupom [CUPOM] até [DATA] ♥ link aqui: [LINK] — qualquer dúvida, me chamem",false,2026-07-03 21:50:17.043951+00
Cupom,2,"Oi lindas ♥ sei que no meio de tanto gasto com tratamento, investir em vocês pesa… por isso deixei o OncoStart num valorzinho especial essa semana pro grupo 🥰 se fizer sentido pra ti agora, tô aqui: [LINK]",false,2026-07-03 21:50:17.043951+00
Cupom,3,Mana 🥰 pra quem tá cansada de pesquisar na internet e receber informação desencontrada… o OncoStart organiza tudo de um jeito simples ♥ essa semana com condição especial: [LINK],false,2026-07-03 21:50:17.043951+00
Cupom,4,"Oi lindas ♥ recadinho: o cupom [CUPOM] vai até [DATA]. Não é pressão, tá? 🥰 é só pra tu não perder se tava pensando em começar. Me chama no direct pra qualquer dúvida",false,2026-07-03 21:50:17.043951+00
Cupom,5,"Meninas 🥰 pra quem é de fora e não consegue acompanhamento presencial comigo, o OncoStart é o jeito de ter minha orientação de onde tu estiver ♥ cupom do grupo: [LINK]",false,2026-07-03 21:50:17.043951+00
Cupom,6,"Oi lindas ♥ se hoje é um dia bom e tu tá com cabeça pra dar um passo pelo teu cuidado, deixo aqui o OncoStart com condição especial 🥰 [LINK]. E se hoje é dia difícil, guarda o recado pra quando puder — tô aqui de qualquer jeito ♥",false,2026-07-03 21:50:17.043951+00
Datas,1,"Meninas 🥰 chegou o Outubro Rosa… um mês que pra nós tem um significado enorme ♥ que ele seja de acolhimento, informação de verdade e muito cuidado. Tô aqui com vocês, hoje e todos os dias 🥰",false,2026-07-03 21:50:17.043951+00
Datas,2,"Oi lindas ♥ nesse Outubro Rosa, meu recado é simples: vocês não estão sozinhas. Cada uma de vocês é força pura, e é uma honra caminhar junto 🥰",false,2026-07-03 21:50:17.043951+00
Datas,3,"Meninas queridas 🥰 chegando o fim do ano… e eu só tenho a agradecer por ter caminhado com cada uma de vocês ♥ que o próximo ano venha com mais leveza, mais saúde e muito cuidado. Gratidão por vocês existirem 🥰",false,2026-07-03 21:50:17.043951+00
Datas,4,"Oi lindas ♥ que neste fim de ano vocês possam se olhar com o mesmo carinho que eu olho pra vocês 🥰 vocês são guerreiras, cada uma do seu jeito. Obrigada por tudo ♥",false,2026-07-03 21:50:17.043951+00
